Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,LCSC Part #,Generic
"C1, C4",2,20pf,C_0402_1005Metric,,0402CG200J500NT,,smt,C1554,x
"C11, C12, C8",3,22uf,C_0402_1005Metric,,GRM155R60J226ME11D,,smt,C415703,x
"C2, C3, C9",3,0.1uF,C_0402_1005Metric,,GRM155R71H104KE14D,,smt,C77020,x
C5,1,10uF,C_0805_2012Metric,,GRM21BR6YA106KE43L,,smt,C162422,x
"D1, D2, D3, D4",4,1N5819WS,D_SOD-323,,1N5819WS,,smt,C191023,
J1,1,Conn_01x06_Pin,TestPoint_Pad_1.0x1.0mm_6pad,,,,tht,DNP,
J2,1,SM12B-GHS-TB(LF)(SN),JST_GH_SM12B-GHS-TB_1x12-1MP_P1.25mm_Horizontal,,SM12B-GHS-TB(LF)(SN),,smt,C265421,
"JP1, JP10, JP11, JP12, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9",12,0R,SolderJumper-3_P1.3mm_BridgedSMD12_0402,,RTT02000JTH,,tht,C102746,x
L1,1,4.7uH,L_1008_2520Metric,, LQM2HPN4R7MG0L,,smt,C82314,x
"R1, R2, R3, R4, R5, R6",6,10K,R_0402_1005Metric,,0402WGF1002TCE,,smt,C25744,x
R13,1,100R,R_0402_1005Metric,,0402WGF1000TCE,,smt,C25076,x
R14,1,182k,R_0402_1005Metric,,0402WGF1823TCE,,smt,C11481,x
R15,1,62k,R_0402_1005Metric,,RC0402FR-0762KL,,smt,C137950,x
R7,1,309k,R_0402_1005Metric,,RTT023093FTH,,smt,C159040,x
U1,1,AP63201WU,TSOT-23-6,,AP63201WU-7,,smt,C2071044,
U2,1,TBD62003AFWG,SOIC-16_3.9x9.9mm_P1.27mm,,TBD62003AFWG,,smt,C114084,
U3,1,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,,ESP32-C3-WROOM-02-N4,,smt,C2934560,
Y1,1,32.768khz 3215 12.5pf,Crystal_SMD_3215-2Pin_3.2x1.5mm,,Q13FC13500004,,smt,C32346,
